time,lat,lng,sog,cog,hdg,awa,aws,tack,dpt,speed,twa,tws,twd,vmg,dist,cum_dist
2024-05-22 16:31:31+00:00,59.48130036704242,24.796739872545004,5.8475172913007505,114.10303851194453,195.0,22.0,18.8,-1.0,,5.7,31.298922898167206,13.556424686937206,82.80411561377733,4.996519892367908,0.0032486207173893058,6.108067555602456
2024-05-22 16:31:34+00:00,59.48126709088683,24.796876162290573,5.56056012738126,115.02133372680692,196.0,22.0,17.9,-1.0,27.3,,31.28273537542546,12.913448208604342,83.73859835138146,4.752139957153075,0.0030892000707673666,6.112838312329008
2024-05-22 16:31:50+00:00,59.48113759048283,24.79770814999938,5.766259360340182,103.88424846493717,,19.0,18.8,-1.0,26.6,5.7,27.005834756620402,13.479265052009621,76.87841370831677,5.137508095306445,0.01281390968964485,6.129682634752182
2024-05-22 16:31:55+00:00,59.481106577441096,24.797951309010386,5.56221752021304,104.0201382767413,197.0,19.0,18.9,-1.0,26.5,,26.56205818260227,13.760496365970845,77.45808009413904,4.97512852656017,0.0030901208445628,6.147050580211014
2024-05-22 16:31:58+00:00,59.4810875505209,24.798103608191013,5.738460732886876,103.79793989197509,198.0,20.0,19.1,-1.0,26.5,5.5,28.148285003353436,13.84740639751716,75.64965488862165,5.059770777877997,0.004782050610739064,6.150140701055577
2024-05-22 16:32:01+00:00,59.48106282390654,24.79823931120336,5.2750344570649625,109.70675886797409,181.0,20.0,18.8,-1.0,26.6,5.6,27.42549758272085,13.96016248702993,82.28126128525324,4.682175975170636,0.0043958620475541355,6.154922751666316
2024-05-22 16:32:05+00:00,59.48103851638734,24.798447182402015,5.853465507407695,102.94552116492451,176.0,20.0,18.5,-1.0,25.6,,28.755090284333193,13.15279817160535,74.19043088059132,5.131639672766576,0.006503850563786328,6.15931861371387
2024-05-22 16:32:06+00:00,59.48103331960738,24.798499988391995,5.904033750639044,100.94898599043097,178.0,20.0,18.5,-1.0,25.6,5.6,28.86141969133729,13.108488373564128,72.08756629909368,5.1706922327074984,0.0016400093751775123,6.165822464277656
2024-05-22 16:32:09+00:00,59.481020076200366,24.798649018630385,5.535575164341757,99.90872731157071,187.0,20.0,18.3,-1.0,25.7,5.6,28.224810382859772,13.234384764894733,71.68391692871094,4.877388325488655,0.00461297930361813,6.167462473652833
2024-05-22 16:32:16+00:00,59.48096936568618,24.798998292535543,5.6962636706147745,105.92895818108082,181.0,20.0,18.3,-1.0,25.6,5.7,28.557369589678444,13.093022870940734,77.37158859140237,5.003249959435981,0.011076068248417618,6.172075452956451
2024-05-22 16:32:20+00:00,59.480937933549285,24.799196692183614,5.703088795871833,107.2982398546514,,21.0,18.3,-1.0,25.6,5.6,29.95111982047061,13.135681635792876,77.34712003418079,4.941450689386287,0.006336765328746481,6.183151521204869
2024-05-22 16:32:41+00:00,59.480749256908894,24.800204196944833,5.675051950885572,108.99692119592731,179.0,21.0,18.6,-1.0,24.8,5.7,29.692771960170802,13.456457431105457,79.30414923575651,4.929883642811669,0.012611226557523494,6.209622865843612
2024-05-22 16:32:46+00:00,59.48070357553661,24.80044442228973,5.631276689478723,110.49607488902706,197.0,25.0,18.6,-1.0,24.8,5.6,35.000466203676154,13.704552394337298,75.4956086853509,4.612845530425342,0.007821217624276004,6.222234092401136
2024-05-22 16:32:59+00:00,59.48059989139438,24.801078597083688,5.6253073445923985,107.81657727860443,194.0,24.0,17.9,-1.0,23.8,5.7,34.16497559118167,12.964521375884662,73.65160168742275,4.654514396404747,0.02031360985547255,6.230055310025412
2024-05-22 16:33:11+00:00,59.4805124681443,24.80168460868299,5.762588732948568,105.83191974122354,170.0,25.0,18.1,-1.0,23.4,5.7,35.709365707236,13.105588410250013,70.12255403398754,4.679153643345463,0.01920862910982856,6.250368919880884
2024-05-22 16:33:12+00:00,59.48050676845014,24.801736744120717,5.853788813816193,102.12860756375323,169.0,25.0,18.6,-1.0,,5.8,35.541232692360126,13.522884467869149,66.58737487139311,4.763212778235144,0.001626052448282276,6.269577548990712
2024-05-22 16:33:16+00:00,59.48048522695899,24.80195048265159,5.979683606990146,101.20599576665848,169.0,22.0,18.0,-1.0,22.9,5.7,32.195048044921094,12.655553586873406,69.01094772173738,5.060242781592602,0.0066440928966557174,6.2712036014389945
2024-05-22 16:33:18+00:00,59.48047533631325,24.802054669708014,5.817138661918838,100.57038457356578,168.0,21.0,18.2,-1.0,22.8,5.7,30.27217908628316,12.938283925901612,70.29820548728262,5.02391613854253,0.003231743701066021,6.27784769433565
2024-05-22 16:33:20+00:00,59.480468379333615,24.802157348021865,5.685220785985114,97.58646339124846,,19.0,19.4,-1.0,22.6,5.7,26.518327321068853,14.146131599682825,71.0681360701796,5.087087744266595,0.003158455992213952,6.281079438036715
2024-05-22 16:33:26+00:00,59.4804382044822,24.80246840044856,5.7933859635941145,100.79620684532102,164.0,23.0,18.8,-1.0,22.2,5.6,32.541490608952444,13.656080725467767,68.25471623636858,4.883836767586532,0.009655643272656857,6.284237894028929
2024-05-22 16:33:27+00:00,59.480435186997056,24.802521876990795,5.906026676529341,96.3293125682913,171.0,22.0,19.1,-1.0,22.2,5.6,31.223871623449327,13.802499722207573,65.10544094484197,5.050529002737951,0.0016405629657025946,6.293893537301586
2024-05-22 16:33:49+00:00,59.48026277124882,24.80362049303949,5.737185174599558,107.14452088794565,180.0,22.0,21.0,-1.0,21.3,5.7,29.80436083270348,15.827173601644795,77.34016005524217,4.978314069903693,0.0350605760669973,6.295534100267289
2024-05-22 16:33:54+00:00,59.48022245429456,24.803872536867857,5.801195502375319,107.45499856117692,185.0,22.0,20.0,-1.0,21.1,5.6,30.45403360048533,14.781842813981797,77.00096496069159,5.000839733802121,0.008057215975521276,6.330594676334286
2024-05-22 16:34:02+00:00,59.48015724308789,24.804265229031444,5.6904616008636575,107.73586530522493,201.0,20.0,20.6,-1.0,20.6,5.7,27.271668589680388,15.376385156882009,80.46419671554455,5.057932169665298,0.009484102668106096,6.341765857881965
2024-05-22 16:34:17+00:00,59.48002187535167,24.805022031068802,5.834702592553347,109.51058066897974,167.0,19.0,21.3,-1.0,19.1,5.7,25.862854921900436,15.897082618831487,83.6477257470793,5.250303274789399,0.017828257921690783,6.357886925559621
2024-05-22 16:34:30+00:00,59.47990972548723,24.805647740140557,5.602672641297406,109.40845098541286,188.0,23.0,19.9,-1.0,18.7,5.4,31.44610824238282,14.904358552198335,77.96234274303004,4.77981507634069,0.020231873426907302,6.3757151834813115
2024-05-22 16:34:31+00:00,59.47990067303181,24.805692918598652,5.3311816226628075,111.49799680184128,185.0,22.0,19.3,-1.0,18.4,5.4,29.91916653685206,14.495249434859247,81.57883026498922,4.620694763804726,0.0014808837840730022,6.395947056908219
2024-05-22 16:34:42+00:00,59.47983764111996,24.806205555796623,5.263351553092348,103.58732455227795,176.0,24.0,16.7,-1.0,17.1,5.6,34.205345347522126,12.082850880528898,69.38197920475582,4.352939801523804,0.016082463078893286,6.3974279406922925
2024-05-22 16:34:53+00:00,59.479750553146005,24.806740656495094,5.655153774013358,109.45828356710547,,25.0,16.6,-1.0,17.1,5.6,36.765469370862775,11.720941747662932,72.6928141962427,4.530299809796854,0.010996132338359306,6.419661288245665
2024-05-22 16:35:02+00:00,59.47969263419509,24.807175174355507,5.47909443399671,104.6822127469477,155.0,22.0,16.1,-1.0,16.1,5.7,32.55072223626408,11.2093870277608,72.13149051068362,4.618413406049435,0.013697736084991774,6.430657420584025
2024-05-22 16:35:04+00:00,59.47967687621713,24.807270476594567,5.500844019359889,108.0052693669279,171.0,22.0,16.0,-1.0,16.1,5.7,32.705743065288544,11.092785248332497,75.29952630163936,4.628721651511566,0.003056024455199938,6.444355156669016
2024-05-22 16:35:17+00:00,59.47958920150995,24.80789367109537,5.46642673840558,105.56429662651448,172.0,21.0,20.0,-1.0,16.0,5.6,28.49172327802279,15.024908021418964,77.07257334849169,4.804366105128082,0.016702970589572604,6.450426046880528
2024-05-22 16:35:32+00:00,59.47956070303917,24.808583334088326,4.604048519742655,76.40467636141722,81.0,29.0,16.7,1.0,16.6,4.8,38.98885564455492,12.868272005253154,115.39353200597213,3.578581210790219,0.007673414199571091,6.4811485759946645
2024-05-22 16:35:38+00:00,59.479654831811786,24.80872037820518,4.2171533938767976,36.52609335356584,81.0,28.0,17.5,1.0,18.1,,36.17805140779143,13.91800964301554,72.70414476135727,3.404029285070603,0.007028588989794663,6.488821990194236
2024-05-22 16:35:51+00:00,59.47994249872863,24.809008883312345,5.502004350372253,25.32129585630571,81.0,27.0,17.6,1.0,16.6,5.7,38.12898854871989,12.941032628300967,63.4502844050256,4.3280017081774975,0.007641672708850352,6.507597370181289
