time,lat,lng,sog,cog,hdg,awa,aws,tack,dpt,twa,tws,twd,vmg,dist,cum_dist
2023-09-27 14:31:56+00:00,59.47662930004299,24.813013756647706,4.8,329.0,,57.0,18.3,-1.0,10.7,,,,,,
2023-09-27 14:31:57+00:00,59.47661102749407,24.813067484647036,7.098398945114862,123.76106560575477,288.0,55.0,18.9,-1.0,10.8,76.41149567732317,15.927822712792505,47.34956992843159,1.667748222836949,0.0019717774847541284,0.0
2023-09-27 14:32:01+00:00,59.47655042633414,24.81331600807607,7.566009114198276,115.60735332273873,279.0,55.0,18.8,-1.0,10.9,78.2000425539611,15.7325253859502,37.407310768777634,1.5472134914772566,0.00840667679355364,0.0019717774847541284
2023-09-27 14:32:03+00:00,59.47654263116419,24.813444083556533,7.080270692960543,96.82173485866758,281.0,50.0,18.3,-1.0,11.0,71.5287475733113,14.780040494970757,25.292987285356276,2.2432337010169965,0.003933483718311413,0.010378454278307768
2023-09-27 14:32:11+00:00,59.4766026455909,24.813911290839314,6.9420174943008,56.99038880705791,283.0,50.0,18.8,-1.0,11.5,70.34988679449982,15.292196585984023,346.6405020125581,2.3344297296661396,0.005785014578584,0.023720950180463524
2023-09-27 14:32:19+00:00,59.47678185068071,24.814235419034958,6.574631225837664,42.62059863391585,284.0,47.0,17.2,-1.0,11.9,67.71325631692484,13.594853378866853,334.907342316991,2.493376867040679,0.014610291612972587,0.029505964759047522
2023-09-27 14:32:24+00:00,59.47688746266067,24.814363913610578,5.3668386330234155,31.757578126884766,287.0,50.0,17.1,-1.0,12.3,66.76144624838733,14.255943975647524,324.9961318784974,2.1175414463406015,0.007453942545865855,0.04411625637202011
2023-09-27 14:32:25+00:00,59.476912189275026,24.81437581591308,5.5019551514467295,13.760825509361268,286.0,51.0,17.0,-1.0,12.3,68.52872368927778,14.19671663432531,305.23210182008347,2.013906728894054,0.0015283208754018694,0.051570198917885966
2023-09-27 14:32:31+00:00,59.477054262533784,24.81440171599388,5.139983880634764,5.298940624600334,296.0,48.0,16.5,-1.0,12.6,64.30219227840531,13.607786623080795,300.99674834619503,2.2288234893627794,0.00856663980105794,0.053098519793287835
2023-09-27 14:32:32+00:00,59.477080665528774,24.814374642446637,6.434422568569394,332.44954128252937,302.0,50.0,16.0,-1.0,12.8,72.56102302127734,12.847211623884467,259.88851826125205,1.928331265599235,0.001787339602380387,0.06166515959434578
2023-09-27 14:32:39+00:00,59.47722114622593,24.81410306878388,6.079027741577672,315.4758231547878,302.0,61.0,17.0,-1.0,12.8,81.72395698348672,15.025004486974021,233.7518661713011,0.8750300842284573,0.011820331719734362,0.06345249919672616
2023-09-27 14:32:41+00:00,59.47725232690573,24.81400340795517,6.424840307433003,301.5897916602761,296.0,62.0,18.0,-1.0,13.0,82.73653471933014,16.021625993135746,218.85325694094595,0.8123060534309351,0.0035693557263516682,0.07527283091646052
2023-09-27 14:32:53+00:00,59.47742382064462,24.813359510153532,6.7942380682299675,303.53019779086856,329.0,84.0,15.5,-1.0,13.4,108.55423430797521,16.26025035886713,194.97596348289335,-2.1619412711712482,0.009436441761430511,0.09166319714203904
