time,lat,lng,sog,cog,hdg,awa,aws,tack,dpt,twa,tws,twd,vmg,dist,cum_dist
2023-09-06 16:17:19+00:00,59.48099434375763,24.790509771555662,5.5368646760577125,240.05553681410373,120.0,39.0,18.1,1.0,33.3,53.17373845185608,14.23024972513824,293.2292752659598,3.3187443700433694,0.006152071862286348,10.633358073446413
2023-09-06 16:17:20+00:00,59.48097934015095,24.790467359125614,5.673558581160062,235.18525286263448,118.0,38.0,18.6,1.0,,51.886144478257535,14.554537798633906,287.071397340892,3.501868760952675,0.001575988494766684,10.6395101453087
2023-09-06 16:17:24+00:00,59.480931647121906,24.790256805717945,6.326520238062485,245.9980568158277,125.0,41.0,18.5,1.0,31.5,57.82545275464825,14.339159574273202,303.82350957047595,3.3688740222354316,0.007029466931180539,10.641086133803466
2023-09-06 16:17:26+00:00,59.480901723727584,24.790147254243493,6.826963578652117,241.76700703643235,127.0,41.0,17.8,1.0,31.7,60.50053183342325,13.41726083192221,302.26753886985557,3.3617025559083467,0.0037927575436956205,10.648115600734647
2023-09-06 16:17:33+00:00,59.480796698480844,24.78981290012598,6.164800791674968,238.30595234812904,126.0,39.0,18.3,1.0,32.0,55.02342183232611,14.055105741126406,293.32937418045515,3.5339198307859214,0.011987112650479104,10.651908358278343
2023-09-06 16:17:45+00:00,59.480637442320585,24.78920697234571,6.2407996901829454,242.676700506314,118.0,38.0,19.7,1.0,30.8,52.570049793573304,15.273361792820301,295.2467502998873,3.7931020146165904,0.020802665633943153,10.663895470928821
2023-09-06 16:17:54+00:00,59.480524118989706,24.788735825568438,6.358122203413853,244.694766096121,123.0,46.0,18.7,1.0,33.7,63.7555933157106,14.99767598319305,308.4503594118316,2.8115688472039935,0.015895305508534633,10.684698136562764
2023-09-06 16:18:05+00:00,59.48035589419305,24.78817407041788,6.507643677232312,239.51640481055964,127.0,48.0,18.0,1.0,32.4,67.51486233380366,14.477179907707274,307.0312671443633,2.4888077702098346,0.019884466791543175,10.700593442071298
2023-09-06 16:18:07+00:00,59.480324713513255,24.788072733208537,6.502923884030076,238.8328057078183,125.0,46.0,18.0,1.0,33.0,65.13419010398785,14.27111911293283,303.96699581180616,2.7344435851658715,0.00361273549112782,10.720477908862842
2023-09-06 16:18:08+00:00,59.48031088337302,24.788025123998523,6.020464748201551,240.27233178519538,,47.0,17.9,1.0,33.3,64.70318665501969,14.479747585445113,304.97551844021507,2.5725902208525504,0.0016723513189448754,10.72409064435397
