time,lat,lng,sog,cog,hdg,awa,aws,tack,dpt,twa,tws,twd,vmg,dist,cum_dist
2024-05-04 09:58:45+00:00,59.49474720284343,24.719668105244637,7.360362210432332,115.3986209007204,116.0,122.0,10.5,1.0,25.6,145.43461762607296,15.695008255386368,260.83323852679337,-6.061105955140606,0.008178180233813703,5.347538821446268
2024-05-04 09:58:48+00:00,59.494696324691176,24.71984412521124,7.408115673490865,119.61524081668051,116.0,122.0,11.1,1.0,25.8,144.69042756709038,16.286214693057058,264.3056683837709,-6.0453263871104825,0.0061734297279090545,5.355717001680081
2024-05-04 09:58:50+00:00,59.49466086924076,24.71996197476983,7.5154111564210035,120.61058918579147,117.0,123.0,11.3,1.0,26.0,145.26732846593447,16.633623020180437,265.87791765172597,-6.17630985679586,0.004175228420233891,5.36189043140799
2024-05-04 09:58:51+00:00,59.49464385397732,24.720022659748793,7.606547457463956,118.8722870093921,118.0,122.0,11.7,1.0,26.0,144.2969564580555,17.002105615828437,263.1692434674476,-6.176916093230666,0.0021129298492955436,5.366065659828224
2024-05-04 09:58:55+00:00,59.49456959031522,24.72025752067566,7.5898656514194345,121.87461171822935,116.0,120.0,11.7,1.0,26.2,142.98686350528226,16.831443453495122,264.8614752235116,-6.060488807703419,0.008433184057132705,5.36817858967752
2024-05-04 09:58:59+00:00,59.494488118216395,24.720489280298352,7.732747242646652,124.65673050177094,115.0,121.0,10.7,1.0,26.2,145.29605576697588,16.109447164508808,269.9527862687468,-6.357129011726874,0.008591941380718502,5.376611773734652
2024-05-04 09:59:04+00:00,59.4943911395967,24.72077015787363,7.454222220148117,124.17608826813154,116.0,114.0,11.2,1.0,26.4,139.5704732084062,15.777202164287095,263.74656147653775,-5.674185295204576,0.010353086416872385,5.38520371511537
2024-05-04 09:59:17+00:00,59.494118727743626,24.72152318805456,7.804391400777052,125.42793426788978,114.0,127.0,10.4,1.0,26.6,149.4337699671548,16.33284926033072,274.8617042350446,-6.71990803926527,0.028182524502806023,5.395556801532242
2024-05-04 09:59:18+00:00,59.494099114090204,24.72158219665289,7.738987317181879,123.17059377390694,116.0,124.0,10.9,1.0,26.6,146.84738216949438,16.52402241192922,270.0179759434013,-6.47921057075235,0.0021497186992171886,5.423739326035048
2024-05-04 09:59:25+00:00,59.493957962840796,24.721978325396776,7.586145207993797,125.01981040910704,115.0,123.0,9.7,1.0,26.6,147.70136946665417,15.224808331954138,272.7211798757612,-6.412375893485096,0.014750837904432384,5.425889044734265
2024-05-04 09:59:33+00:00,59.49379451572895,24.722420386970043,7.500766491741228,126.02065268163813,115.0,121.0,9.4,1.0,26.6,146.86208553956698,14.739378828418971,272.8827382212051,-6.2808205273306505,0.016668369981647172,5.440639882638697
2024-05-04 09:59:37+00:00,59.49369544163346,24.72263957373798,8.050506079411885,131.6331412028502,117.0,120.0,11.1,1.0,26.6,144.74720577916872,16.654767053793325,276.3803469820189,-6.574151203780767,0.008945006754902094,5.4573082526203445
2024-05-04 09:59:39+00:00,59.49364313855767,24.722754070535302,8.450330319605897,131.9338661282984,119.0,117.0,11.4,1.0,26.6,143.29702761488036,16.995214365315526,275.23089374317874,-6.77500703678834,0.004694627955336609,5.466253259375247
