time,lat,lng,sog,cog,hdg,awa,aws,tack,dpt,twa,tws,twd,vmg,dist,cum_dist
2024-05-08 15:38:37+00:00,59.473971985280514,24.803164852783084,5.985338956054664,249.61141291565445,129.0,30.0,14.2,1.0,24.3,48.361454197471176,9.500218090689959,297.97286711312563,3.9768336415619046,0.01828853569905592,0.0
2024-05-08 15:38:41+00:00,59.47393233887851,24.802956646308303,6.102969386887004,249.48218743352112,127.0,27.0,14.2,1.0,24.2,44.54741749351109,9.189838191347818,294.0296049270322,4.349404038192359,0.006781077096541115,0.01828853569905592
2024-05-08 15:38:48+00:00,59.4738691393286,24.80260133743286,5.9044376023846015,250.73145185219687,127.0,27.0,14.4,1.0,24.9,43.34674968419847,9.524110538485179,294.07820153639534,4.293783378498618,0.011480850893525614,0.025069612795597034
2024-05-08 15:38:55+00:00,59.47381507605314,24.802238401025534,5.932000553348574,253.68222563015615,127.0,28.0,14.4,1.0,25.1,44.90669486829694,9.576243366462641,298.5889204984531,4.201383013257531,0.011534445520400005,0.036550463689122646
2024-05-08 15:39:02+00:00,59.47374223731458,24.801916368305683,5.5288794829377235,246.03351991301417,128.0,30.0,13.1,1.0,24.9,48.39661920160012,8.759507752474434,294.4301391146143,3.6710119686419156,0.010750598994601129,0.04808490920952265
2024-05-08 15:39:06+00:00,59.47369345463812,24.801740599796176,5.49751617400904,241.38936035004951,131.0,29.0,13.7,1.0,24.8,45.68576192501925,9.282619138162996,287.0751222750688,3.8405269456325657,0.006108351304454489,0.05883550820412378
2024-05-08 15:39:08+00:00,59.473667638376355,24.80165082961321,5.662855402570418,240.52506124031618,132.0,31.0,13.7,1.0,24.8,49.24776593919631,9.314393945232244,289.7728271795125,3.6966513617265133,0.0031460307792057877,0.06494385950857827
2024-05-08 15:39:10+00:00,59.473642660304904,24.801560640335083,5.638968458006492,241.440393931761,,31.0,13.8,1.0,,48.94740991989056,9.425087724054555,290.3878038516516,3.7034008683715873,0.003132760254448051,0.06808989028778406
2024-05-08 15:39:17+00:00,59.47355783544481,24.801247073337436,5.5060593528857185,240.5112561583265,129.0,33.0,13.8,1.0,25.6,51.08646564189641,9.65951549912448,291.59772180022287,3.458613981763882,0.00764730465678572,0.0744185611943776
2024-05-08 15:39:18+00:00,59.47354425676167,24.801200721412897,5.874605985950358,240.0692673072018,128.0,32.0,13.9,1.0,25.6,51.24280652527031,9.445783681466192,291.31207383247215,3.6776289557161967,0.0016318349960973216,0.08206586585116332
2024-05-08 15:39:20+00:00,59.473520033061504,24.80110516771674,5.862351560763622,243.51621282566438,,33.0,13.8,1.0,,52.76937948901791,9.439783394986025,296.2855923146823,3.5468675938754215,0.0032568619782020122,0.08369770084726065
2024-05-08 15:39:21+00:00,59.473509807139635,24.80105822905898,5.607327021063344,246.82126597613802,128.0,31.0,13.8,1.0,26.0,48.8026764271666,9.445898421934144,295.6239424033046,3.693290122585727,0.0015575908391842622,0.08695456282546266
2024-05-08 15:39:28+00:00,59.4734409917146,24.80069856159389,6.027985658451891,249.39249083284238,133.0,28.0,14.9,1.0,25.6,44.46123097213257,9.986952857420443,293.85372180497495,4.3023213762999655,0.011721083224767566,0.08851215366464692
2024-05-08 15:39:34+00:00,59.473382234573364,24.800397902727127,5.894642133430985,248.98936234086682,129.0,29.0,14.9,1.0,25.5,45.34499419309549,10.154841930011411,294.3343565339623,4.142968451659975,0.009824403555718309,0.10023323688941449
2024-05-08 15:39:54+00:00,59.47323286905885,24.799381345510483,5.815331358272566,253.44950458090102,133.0,23.0,15.0,1.0,26.0,36.25379050687002,9.910946302689071,289.70329508777104,4.689515094713243,0.019384437860908554,0.12294761954846412
2024-05-08 15:39:58+00:00,59.47320085018873,24.799173809587955,5.953277482384038,253.1322112730492,137.0,24.0,14.3,1.0,25.3,39.283206436531,9.18628598301231,292.4154177095802,4.607990498696046,0.006614752758204487,0.14233205740937266
2024-05-08 15:40:05+00:00,59.47313513606787,24.798814309760928,5.9924733874620015,250.23954881465215,132.0,25.0,13.4,1.0,25.1,42.6301816912696,8.361713903403574,292.8697305059218,4.408904929656524,0.011652031586731669,0.14894681016757716
2024-05-08 15:40:17+00:00,59.47301460430026,24.7981820628047,6.1785228640597065,249.46097075293653,129.0,32.0,13.9,1.0,26.0,52.70959674641391,9.258558972010688,302.17056749935045,3.7432899217705504,0.020595076213532355,0.16059884175430883
2024-05-08 15:40:30+00:00,59.47288015857339,24.797515030950308,6.060659991168257,248.39067255041348,,28.0,13.7,1.0,,46.81942906853229,8.820288113733866,295.21010161894577,4.147308858780941,0.02188571663477426,0.18119391796784118
2024-05-08 15:40:38+00:00,59.47282022796571,24.797086883336306,6.094847600821928,254.61887671996968,141.0,32.0,13.9,1.0,26.4,52.29988487752847,9.309492077409821,306.91876159749813,3.72717380316559,0.013544105779604285,0.20307963460261544
2024-05-08 15:40:42+00:00,59.472798351198435,24.796870797872543,6.047707186484693,258.74699504774736,,28.0,13.7,1.0,26.1,46.75813557287435,8.829156768435348,305.5051306206217,4.1431605794161745,0.00671967465164966,0.2166237403822197
2024-05-08 15:40:43+00:00,59.472792986780405,24.796815728768706,6.156258049117373,259.16223584015415,136.0,30.0,13.8,1.0,,49.975132920232,9.010592619488001,309.13736876038615,3.9592128115964123,0.0017100716803103812,0.22334341503386937
2024-05-08 15:40:53+00:00,59.472702126950026,24.79630778543651,5.896785641275627,249.73857374302202,137.0,29.0,13.4,1.0,26.7,48.12840927436787,8.724251071473242,297.8669830173899,3.9358886957815704,0.014741964103189066,0.22675243807253717
