time,lat,lng,sog,cog,hdg,awa,aws,tack,dpt,speed,twa,tws,twd,vmg,dist,cum_dist,time
2024-07-18 11:30:45+00:00,59.04966666666666,22.765,5.6,176.0,110.0,30.0,24.2,1.0,10.6,5.9,38.23360307918196,19.551789548741205,214.23360307918196,4.3987667986332335,0.00206646169186966,1.6046126764643647,2024-07-18 11:30:45+00:00
2024-07-18 11:30:46+00:00,59.04965000000001,22.765,5.8,180.0,110.0,29.0,25.2,1.0,11.0,5.9,36.9531008633908,20.32267618226034,216.9531008633908,4.634941557437025,0.001000675698389783,1.6066791381562344,2024-07-18 11:30:46+00:00
2024-07-18 11:30:48+00:00,59.04959999999999,22.765,5.9,181.0,113.0,28.0,25.2,1.0,11.0,5.8,35.888627897330366,20.181593192497697,216.88862789733037,4.779932247476172,0.0010006756999174807,1.6096811652540772,2024-07-18 11:30:48+00:00
2024-07-18 11:30:49+00:00,59.04956666666667,22.765016666666664,6.3,177.0,,30.0,25.0,1.0,11.1,5.8,39.15587656222178,19.79626221810324,216.15587656222178,4.885215200251837,0.002066462063417582,1.6106818409539947,2024-07-18 11:30:49+00:00
2024-07-18 11:30:50+00:00,59.04953333333333,22.765016666666664,6.0,174.0,113.0,30.0,24.8,1.0,11.1,5.8,38.700541973407496,19.83206594971263,212.7005419734075,4.682546957971877,0.002001351399453122,1.6127483030174123,2024-07-18 11:30:50+00:00
2024-07-18 11:30:51+00:00,59.04951666666666,22.765016666666664,6.0,175.0,112.0,28.0,24.0,1.0,10.7,5.9,36.56516496437621,18.91325178959528,211.5651649643762,4.819078939234907,0.001000675699153632,1.6147496544168654,2024-07-18 11:30:51+00:00
2024-07-18 11:30:52+00:00,59.049483333333335,22.765033333333335,6.8,175.0,112.0,29.0,23.7,1.0,,6.0,39.52014970445532,18.05609525879917,214.52014970445532,5.245525715557395,0.002066462374902514,1.615750330116019,2024-07-18 11:30:52+00:00
2024-07-18 11:30:54+00:00,59.04943333333334,22.765033333333335,6.0,176.0,112.0,30.0,23.4,1.0,10.6,,39.35824742743071,18.449392039233423,215.3582474274307,4.63917545409217,0.0010006756989626696,1.6198181438901835,2024-07-18 11:30:54+00:00
2024-07-18 11:30:55+00:00,59.0494,22.765033333333335,6.1,174.0,112.0,31.0,23.4,1.0,10.6,6.2,40.809207292632834,18.440875223143856,214.80920729263283,4.617029260919441,0.0020013513992621595,1.6208188195891462,2024-07-18 11:30:55+00:00
2024-07-18 11:30:56+00:00,59.04936666666667,22.765033333333335,6.1,181.0,112.0,31.0,24.2,1.0,10.5,6.3,40.403108001178765,19.22966266320625,221.40310800117877,4.645169210407368,0.002001351398880235,1.6228201709884083,2024-07-18 11:30:56+00:00
2024-07-18 11:30:57+00:00,59.049350000000004,22.765033333333335,6.4,178.0,113.0,31.0,24.5,1.0,10.3,6.3,40.83491337828042,19.29772873940914,218.83491337828042,4.8422192068263215,0.001000675699153632,1.6248215223872884,2024-07-18 11:30:57+00:00
2024-07-18 11:30:58+00:00,59.04931666666666,22.765049999999995,6.7,176.0,113.0,30.0,24.7,1.0,10.3,6.4,40.05244378762089,19.19226177018817,216.0524437876209,5.128553645781257,0.0020664629974686054,1.625822198086442,2024-07-18 11:30:58+00:00
2024-07-18 11:30:59+00:00,59.04928333333334,22.765049999999995,6.3,179.0,,30.0,24.3,1.0,10.3,6.4,39.48991154727494,19.10550553817618,218.48991154727494,4.8619403909385905,0.002001351397925424,1.6278886610839107,2024-07-18 11:30:59+00:00
2024-07-18 11:31:00+00:00,59.04926666666667,22.765049999999995,6.3,177.0,113.0,30.0,24.3,1.0,10.2,6.4,39.48991154727494,19.10550553817618,216.48991154727494,4.8619403909385905,0.0010006757001084431,1.629890012481836,2024-07-18 11:31:00+00:00
2024-07-18 11:31:01+00:00,59.049233333333326,22.765049999999995,6.1,178.0,113.0,28.0,24.0,1.0,10.2,6.3,36.7464064161332,18.833028030853303,214.7464064161332,4.887877161534499,0.002001351399453122,1.6308906881819445,2024-07-18 11:31:01+00:00
2024-07-18 11:31:02+00:00,59.049200000000006,22.765049999999995,6.0,180.0,113.0,27.0,24.0,1.0,,6.3,35.30789276023549,18.85179357604337,215.3078927602355,4.896347878560743,0.002001351397925424,1.6328920395813977,2024-07-18 11:31:02+00:00
2024-07-18 11:31:04+00:00,59.04914999999999,22.765033333333335,6.0,192.0,115.0,27.0,24.8,1.0,10.2,,34.97073254415881,19.64373840188119,226.9707325441588,4.91666956784458,0.0020664636188152024,1.6358940666798134,2024-07-18 11:31:04+00:00
2024-07-18 11:31:05+00:00,59.04913333333334,22.765016666666664,5.9,200.0,118.0,27.0,25.6,1.0,10.2,6.2,34.500911088297784,20.5186439408938,234.50091108829778,4.862291372704878,0.0011252629488062481,1.6379605302986286,2024-07-18 11:31:05+00:00
2024-07-18 11:31:06+00:00,59.049099999999996,22.765,5.4,203.0,122.0,27.0,26.1,1.0,9.9,6.2,33.569131230410335,21.42925759240816,236.56913123041033,4.499384036209788,0.002066463805330489,1.639085793247435,2024-07-18 11:31:06+00:00
2024-07-18 11:31:07+00:00,59.04908333333333,22.76498333333333,4.8,209.0,130.0,26.0,26.3,1.0,9.6,6.2,31.466923694627326,22.086250908435915,240.46692369462733,4.0941199472776635,0.0011252632921771807,1.6411522570527655,2024-07-18 11:31:07+00:00
2024-07-18 11:31:08+00:00,59.049066666666675,22.76496666666667,4.5,213.0,149.0,21.0,25.6,1.0,9.2,6.0,25.30975857669219,21.45956825602614,238.3097585766922,4.068043871663776,0.0011252634053673229,1.6422775203449427,2024-07-18 11:31:08+00:00
2024-07-18 11:31:09+00:00,59.04905,22.764933333333335,3.7,219.0,,15.0,24.9,1.0,8.6,5.5,17.571094378966336,21.347564433629806,236.57109437896634,3.5273694388005716,0.001435554386268961,1.64340278375031,2024-07-18 11:31:09+00:00
2024-07-18 11:31:10+00:00,59.04905,22.764916666666668,2.5,225.0,150.0,7.0,24.7,1.0,8.6,5.2,7.785619992461648,22.220723441695068,232.78561999246165,2.476954677387992,0.0005146515939884996,1.644838338136579,2024-07-18 11:31:10+00:00
2024-07-18 11:31:11+00:00,59.049033333333334,22.764899999999997,2.9,240.0,161.0,7.0,23.2,-1.0,8.5,4.9,7.996352644129416,20.324689169459486,232.00364735587058,2.8718030861763175,0.0011252636345294134,1.6453529897305674,2024-07-18 11:31:11+00:00
2024-07-18 11:31:12+00:00,59.04905,22.764883333333334,1.4,0.0,190.0,11.0,20.9,-1.0,,4.1,11.783818155836855,19.527549186332692,348.21618184416315,1.3704951467442559,0.0011252636343839775,1.6464782533650968,2024-07-18 11:31:12+00:00
2024-07-18 11:31:14+00:00,59.04905,22.764833333333332,3.4,277.0,286.0,22.0,19.8,-1.0,8.5,,26.375027298988954,16.696226095172758,250.62497270101105,3.046078604801613,0.001029303187976991,1.6481181685936657,2024-07-18 11:31:14+00:00
2024-07-18 11:31:15+00:00,59.049066666666675,22.764799999999997,3.9,298.0,287.0,30.0,18.6,-1.0,8.6,3.1,37.29982468437774,15.3468900569123,260.70017531562223,3.1023538067948047,0.001435554386094747,1.6491474717816426,2024-07-18 11:31:15+00:00
2024-07-18 11:31:16+00:00,59.04908333333333,22.764766666666667,4.1,296.0,291.0,30.0,18.6,-1.0,8.6,3.1,37.757029978163075,15.188278553371262,258.2429700218369,3.241519249176088,0.0014355540270396463,1.6505830261677372,2024-07-18 11:31:16+00:00
2024-07-18 11:31:17+00:00,59.04908333333333,22.764733333333332,4.3,294.0,290.0,35.0,16.8,-1.0,8.9,3.2,45.52299550123087,13.50477369825672,248.47700449876913,3.0126786711493523,0.001029302189626875,1.6520185801947769,2024-07-18 11:31:17+00:00
2024-07-18 11:31:18+00:00,59.04908333333333,22.7647,4.3,291.0,285.0,34.0,18.1,-1.0,9.2,3.3,43.39329679842356,14.732685140736644,247.60670320157644,3.124616716654894,0.0010293021894304498,1.6530478823844037,2024-07-18 11:31:18+00:00
2024-07-18 11:31:19+00:00,59.04908333333333,22.764666666666667,4.2,277.0,,35.0,20.2,-1.0,9.2,3.5,43.17967413433132,16.931812694600772,233.82032586566868,3.0626879928818376,0.001029302189626875,1.6540771845738342,2024-07-18 11:31:19+00:00
2024-07-18 11:31:20+00:00,59.04908333333333,22.764616666666665,4.1,271.0,282.0,34.0,20.8,-1.0,9.3,3.6,41.50586755409225,17.55133475337452,229.49413244590775,3.0704402226236764,0.0015439532843420799,1.655106486763461,2024-07-18 11:31:20+00:00
