time,lat,lng,sog,cog,hdg,awa,aws,tack,dpt,speed,twa,tws,twd,vmg,dist,cum_dist,time
2024-07-16 14:01:59+00:00,59.54361666666667,24.627266666666667,5.7,115.0,73.0,30.0,16.7,-1.0,29.3,6.1,43.61873625216711,12.103969746637611,71.38126374783289,4.126493971130057,0.0018212203772019209,1.5365164091947405,2024-07-16 14:01:59+00:00
2024-07-16 14:02:00+00:00,59.54361666666667,24.62731666666667,5.4,114.0,76.0,30.0,16.4,-1.0,29.3,6.1,42.969490092234366,12.030360779365688,71.03050990776563,3.9512705089178746,0.0015216743912085063,1.5383376295719424,2024-07-16 14:02:00+00:00
2024-07-16 14:02:01+00:00,59.5436,24.627366666666664,6.0,117.0,77.0,29.0,16.2,-1.0,29.3,6.1,43.87401017767925,11.331986980759442,73.12598982232075,4.325193420815641,0.0018212210064321717,1.539859303963151,2024-07-16 14:02:01+00:00
2024-07-16 14:02:02+00:00,59.54358333333333,24.627416666666665,6.1,117.0,94.0,28.0,16.1,-1.0,29.3,6.1,42.964886118372874,11.090150306044078,74.03511388162713,4.463806326204221,0.001821221635227385,1.541680524969583,2024-07-16 14:02:02+00:00
2024-07-16 14:02:03+00:00,59.543566666666656,24.62746666666667,6.0,118.0,,27.0,16.3,-1.0,29.2,6.1,40.96460638756554,11.287565010610358,77.03539361243446,4.530688241223876,0.0018212222646521337,1.5435017466048104,2024-07-16 14:02:03+00:00
2024-07-16 14:02:04+00:00,59.543566666666656,24.627516666666665,6.0,117.0,50.0,26.0,16.2,-1.0,29.2,6.1,39.67851382991708,11.122699195763676,77.32148617008292,4.617834250146916,0.0015216766491931437,1.5453229688694625,2024-07-16 14:02:04+00:00
2024-07-16 14:02:05+00:00,59.54355,24.627566666666667,5.9,114.0,46.0,28.0,15.9,-1.0,,6.1,42.525630232809704,11.043612299778008,71.4743697671903,4.34815279481164,0.0018212228927041209,1.5468446455186557,2024-07-16 14:02:05+00:00
2024-07-16 14:02:08+00:00,59.54351666666666,24.627716666666668,5.9,115.0,35.0,29.0,15.0,-1.0,29.2,6.2,45.20895051581874,10.247063571400684,69.79104948418126,4.156687795000606,0.0015216789077573936,1.5523083160844762,2024-07-16 14:02:08+00:00
2024-07-16 14:02:09+00:00,59.543499999999995,24.62776666666667,6.1,115.0,45.0,30.0,15.4,-1.0,29.2,,46.7762453091288,10.566983824014288,68.2237546908712,4.177580581810731,0.001821224779944319,1.5538299949922336,2024-07-16 14:02:09+00:00
2024-07-16 14:02:10+00:00,59.54348333333334,24.627833333333335,6.5,116.0,53.0,31.0,15.5,-1.0,29.1,6.1,49.63351961704211,10.477632791261792,66.36648038295789,4.209882749710858,0.002262258675461011,1.555651219772178,2024-07-16 14:02:10+00:00
2024-07-16 14:02:11+00:00,59.54346666666667,24.62788333333333,6.3,116.0,46.0,29.0,16.0,-1.0,29.0,6.1,45.233762009536434,10.925505344866105,70.76623799046357,4.436560593732894,0.0018212260380176886,1.557913478447639,2024-07-16 14:02:11+00:00
2024-07-16 14:02:12+00:00,59.54346666666667,24.62793333333333,5.9,115.0,41.0,28.0,16.0,-1.0,28.9,6.1,42.396635895177724,11.140444087568259,72.60336410482228,4.357120091832721,0.001521681165933303,1.5597347044856567,2024-07-16 14:02:12+00:00
2024-07-16 14:02:13+00:00,59.54345,24.627983333333336,5.6,114.0,40.0,28.0,16.3,-1.0,28.9,6.1,41.035531953206174,11.655860648089197,72.96446804679383,4.224094450222707,0.0018212266668696212,1.56125638565159,2024-07-16 14:02:13+00:00
2024-07-16 14:02:14+00:00,59.54345,24.62803333333333,5.9,112.0,,28.0,16.5,-1.0,28.9,6.1,41.78393075776154,11.625407677598531,70.21606924223846,4.399411150403771,0.001521681918497022,1.5630776123184595,2024-07-16 14:02:14+00:00
2024-07-16 14:02:15+00:00,59.54343333333333,24.62806666666667,5.7,112.0,38.0,27.0,15.9,-1.0,28.9,6.2,40.4488783269241,11.126372159226763,71.5511216730759,4.337615225926955,0.0014249457973021756,1.5645992942369567,2024-07-16 14:02:15+00:00
2024-07-16 14:02:16+00:00,59.54341666666666,24.628116666666664,5.8,114.0,31.0,28.0,15.9,-1.0,,6.2,42.177282621763624,11.117515278743696,71.82271737823638,4.298211049443245,0.0018212279250478323,1.5660242400342588,2024-07-16 14:02:16+00:00
2024-07-16 14:02:18+00:00,59.543400000000005,24.628233333333334,6.3,118.0,47.0,31.0,15.5,-1.0,28.9,6.2,48.81046021340319,10.60826216554236,69.18953978659681,4.148878131662489,0.002262263176282924,1.5693671513836083,2024-07-16 14:02:18+00:00
2024-07-16 14:02:19+00:00,59.54338333333333,24.628266666666665,5.3,117.0,65.0,31.0,16.0,-1.0,28.9,,44.40121253677515,11.777708851933882,72.59878746322485,3.78662672513052,0.001424946869380614,1.5716294145598912,2024-07-16 14:02:19+00:00
2024-07-16 14:02:20+00:00,59.543366666666664,24.628316666666667,6.0,120.0,69.0,31.0,16.0,-1.0,28.9,6.2,46.88795106805159,11.288218560304122,73.11204893194841,4.100563841860597,0.0018212298117390314,1.5730543614292718,2024-07-16 14:02:20+00:00
2024-07-16 14:02:21+00:00,59.543366666666664,24.628366666666672,6.1,121.0,64.0,32.0,15.7,-1.0,28.9,6.2,49.070202618117634,11.012032857842286,71.92979738188237,3.9963162784753843,0.0015216856825720324,1.5748755912410108,2024-07-16 14:02:21+00:00
2024-07-16 14:02:22+00:00,59.54335,24.628416666666666,5.9,121.0,49.0,32.0,15.8,-1.0,28.9,6.2,48.150294436796656,11.240102888879441,72.84970556320334,3.9363557398995423,0.0018212304401296782,1.5763972769235828,2024-07-16 14:02:22+00:00
2024-07-16 14:02:23+00:00,59.54333333333334,24.628449999999997,5.5,119.0,39.0,31.0,15.8,-1.0,28.9,6.2,45.33411525937245,11.441779718993581,73.66588474062755,3.8663424325131777,0.0014249479408613972,1.5782185073637125,2024-07-16 14:02:23+00:00
2024-07-16 14:02:24+00:00,59.54331666666667,24.6285,6.3,119.0,,30.0,16.6,-1.0,28.9,6.2,45.783597582272904,11.580679019144206,73.2164024177271,4.3934329449653005,0.0018212316983973302,1.579643455304574,2024-07-16 14:02:24+00:00
2024-07-16 14:02:25+00:00,59.54331666666667,24.628550000000004,6.1,118.0,0.0,28.0,17.6,-1.0,28.9,6.3,41.19557168113161,12.545257783773566,76.80442831886839,4.590041477171909,0.0015216879409380576,1.5814646870029714,2024-07-16 14:02:25+00:00
2024-07-16 14:02:26+00:00,59.5433,24.6286,5.9,115.0,352.0,26.0,18.1,-1.0,,6.2,37.42597819286482,13.055863341480867,77.57402180713518,4.685420994713751,0.0018212323269737362,1.5829863749439095,2024-07-16 14:02:26+00:00
2024-07-16 14:02:28+00:00,59.54328333333333,24.628700000000002,5.9,111.0,346.0,24.0,17.9,-1.0,29.7,6.2,34.85885365889931,12.738168174299231,76.1411463411007,4.841319013675822,0.0018212329566889762,1.5863292959643838,2024-07-16 14:02:28+00:00
2024-07-16 14:02:29+00:00,59.54326666666666,24.62875,6.0,110.0,344.0,24.0,17.7,-1.0,29.9,,35.294937177428636,12.46005396443818,74.70506282257136,4.897131888497042,0.0018212335848456576,1.5881505289210727,2024-07-16 14:02:29+00:00
2024-07-16 14:02:30+00:00,59.54326666666666,24.628800000000002,6.0,109.0,348.0,24.0,17.8,-1.0,29.9,6.1,35.20557733859209,12.558132434703039,73.7944226614079,4.902532697146672,0.001521690199012535,1.5899717625059184,2024-07-16 14:02:30+00:00
2024-07-16 14:02:31+00:00,59.54325000000001,24.628850000000003,6.0,109.0,355.0,25.0,17.7,-1.0,29.9,6.1,36.683599354203494,12.521590395529456,72.3164006457965,4.811680072589107,0.001821234213745526,1.591493452704931,2024-07-16 14:02:31+00:00
2024-07-16 14:02:32+00:00,59.54325000000001,24.628899999999998,5.9,109.0,10.0,26.0,17.7,-1.0,29.8,6.1,37.78448846789388,12.66403867215968,71.21551153210612,4.66289339315099,0.0015216909515747069,1.5933146869186765,2024-07-16 14:02:32+00:00
2024-07-16 14:02:33+00:00,59.54325000000001,24.62895,5.6,108.0,19.0,25.0,17.7,-1.0,29.6,6.1,35.61761851933426,12.844592025356606,72.38238148066574,4.552361627028737,0.0015216909517682996,1.5948363778702512,2024-07-16 14:02:33+00:00
2024-07-16 14:02:34+00:00,59.54323333333333,24.628999999999998,5.8,107.0,,25.0,17.3,-1.0,29.2,6.1,36.50422782976747,12.29032763182028,70.49577217023253,4.662115206994782,0.001821234843371117,1.5963580688220196,2024-07-16 14:02:34+00:00
2024-07-16 14:02:35+00:00,59.54323333333333,24.62905,5.6,108.0,23.0,24.0,17.4,-1.0,29.1,6.1,34.50447956352684,12.493528773513507,73.49552043647316,4.614858655060408,0.0015216917046207339,1.5981793036653906,2024-07-16 14:02:35+00:00
2024-07-16 14:02:36+00:00,59.543216666666666,24.6291,6.0,107.0,23.0,24.0,17.2,-1.0,,6.1,35.76368895797535,11.970138576581608,71.23631104202465,4.868606228396665,0.0018212354719802342,1.5997009953700114,2024-07-16 14:02:36+00:00
2024-07-16 14:02:38+00:00,59.543216666666666,24.6292,5.8,105.0,16.0,23.0,17.1,-1.0,29.0,6.1,33.90664715192341,11.977422814160562,71.09335284807659,4.813695922736266,0.0015216924574730387,1.6030439232990774,2024-07-16 14:02:38+00:00
2024-07-16 14:02:39+00:00,59.54319999999999,24.629250000000003,6.1,105.0,20.0,21.0,17.8,-1.0,29.0,,31.23659367494278,12.300962343730172,73.76340632505722,5.215702716281198,0.00182123610124293,1.6045656157565504,2024-07-16 14:02:39+00:00
2024-07-16 14:02:40+00:00,59.54319999999999,24.629299999999997,5.9,105.0,23.0,19.0,17.4,-1.0,29.0,6.1,28.229263144207977,11.9764822071403,76.77073685579202,5.198265725632583,0.0015216932098412322,1.6063868518577933,2024-07-16 14:02:40+00:00
2024-07-16 14:02:41+00:00,59.54318333333334,24.62935,6.0,105.0,24.0,22.0,16.6,-1.0,29.0,6.1,33.510754691192346,11.263435362725529,71.48924530880765,5.002693237031821,0.001821236729351449,1.6079085450676345,2024-07-16 14:02:41+00:00
2024-07-16 14:02:42+00:00,59.54318333333334,24.6294,5.8,105.0,26.0,22.0,16.7,-1.0,29.0,6.2,32.862815927959275,11.528917715610685,72.13718407204072,4.871838757014139,0.001521693962886872,1.609729781796986,2024-07-16 14:02:42+00:00
2024-07-16 14:02:43+00:00,59.54316666666667,24.62945,6.0,107.0,23.0,22.0,16.4,-1.0,29.0,6.2,33.71736817609744,11.06752986990576,73.28263182390256,4.990715357323198,0.0018212373587430883,1.6112514757598728,2024-07-16 14:02:43+00:00
2024-07-16 14:02:44+00:00,59.54316666666667,24.6295,6.4,108.0,,23.0,17.0,-1.0,29.0,6.2,35.68630486267014,11.386753000252046,72.31369513732986,5.198227102521266,0.0015216947155451972,1.613072713118616,2024-07-16 14:02:44+00:00
2024-07-16 14:02:45+00:00,59.54315,24.629550000000002,6.0,112.0,29.0,25.0,16.5,-1.0,29.0,6.2,37.910522533494,11.349055386539591,74.089477466506,4.7338275377832435,0.0018212379882724188,1.6145944078341612,2024-07-16 14:02:45+00:00
